id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40721389,Quarto com 1 beliche no coração da Lapa,214312789,Robson,,Centro,-22.91394,-43.18164,Shared room,54000,100,1,2020-02-11,0.06,1,179
40721671,"LB211 - Rio de janeiro, Alto Leblon",12909867,Giovanni,,Leblon,-22.9858,-43.23045,Entire home/apt,509,3,0,,,32,88
40721685,O Paraíso existe!!   É aqui!!,2125175,Eliete,,Barra da Tijuca,-23.01351,-43.29533,Entire home/apt,6000,1,1,2021-01-02,0.15,1,290
40723215,Rooms nearby Selaron stairs Bohemian center of Rio,7811414,Priscilla,,Santa Teresa,-22.91795,-43.17986,Private room,70,1,2,2020-02-29,0.11,1,45
40723294,2 quartos com serviços no Real Residence Hotel,307071380,Wildimar,,Copacabana,-22.96011,-43.17595,Entire home/apt,800,3,1,2020-03-11,0.06,3,168
40724143,Lovely room in copacabana,141251335,Henrique,,Copacabana,-22.96473,-43.17878,Private room,120,40,0,,,1,90
40726670,Studio com linda vista do Rio.,1439548,Raquel,,Laranjeiras,-22.93503,-43.19676,Entire home/apt,190,2,0,,,1,180
40726963,Estada perfeita no Rio de Janeiro,36630782,Maria,,Humaitá,-22.95463,-43.20008,Entire home/apt,300,2,0,,,1,173
40728060,-,76200842,Leticia,,Joá,-23.01183,-43.29001,Private room,250,2,0,,,1,90
40728527,Cozy silent apartment close to the Botanic Garden,39999472,Rafaela,,Jardim Botânico,-22.96481,-43.23222,Entire home/apt,230,10,0,,,1,90
40729479,Piscina e garagem no coração de Copacabana,514325,Julio Cezar,,Copacabana,-22.9679,-43.18506,Entire home/apt,170,3,12,2020-10-20,0.64,1,83
40729776,Anna House,90249660,Anna Carolina,,Copacabana,-22.98505,-43.19048,Entire home/apt,239,1,14,2021-02-17,0.73,1,304
40730379,spacious one bedroom Ipanema beach,25698751,Maria Helena,,Ipanema,-22.98458,-43.19787,Entire home/apt,509,3,0,,,3,267
40730709,Confortável Apartamento em Copacabana,230703920,Leandro,,Copacabana,-22.96238,-43.17461,Entire home/apt,500,5,0,,,1,362
40730909,Aluguel Quarto Tijuca Rio de Janeiro,14697532,Joao Marcelo,,Tijuca,-22.91807,-43.22295,Private room,500,1,0,,,3,365
40731174,1/4 p 3 arejado c ar ao lado da praia e do metrô,110884999,Neto,,Copacabana,-22.9803,-43.19053,Private room,300,2,1,2020-01-01,0.05,2,365
40731233,Lindo apto no posto 6 Copacabana,169886461,Osvaldo Efrain,,Copacabana,-22.98172,-43.19173,Entire home/apt,170,7,1,2020-02-26,0.06,2,89
40732065,Quarto Ipanema Casal,198279985,Isabela,,Ipanema,-22.98313,-43.20879,Entire home/apt,380,1,0,,,3,365
40732371,Copacabana com aconchego,125922532,Tatiane,,Copacabana,-22.96651,-43.18401,Entire home/apt,400,3,1,2020-02-25,0.06,1,178
40732630,"Lindo apê, com uma espetacular vista mar, ate 08 !",48720390,Fariza,,Copacabana,-22.97317,-43.1838,Entire home/apt,700,4,3,2020-02-27,0.16,8,343
40732818,Excelente apto. a 200m da praia de Copacabana,170523702,Rayane,,Copacabana,-22.96852,-43.18666,Entire home/apt,350,4,0,,,1,83
40732865,COPACABANA PERTO METRÔ. Apartamento para 5 pessoas,15489320,Luciana,,Copacabana,-22.9618,-43.17655,Entire home/apt,120,3,5,2019-12-31,0.26,2,320
40733361,Amplo apto a 1 quadra da praia de Copacabana,240996470,Gabriela,,Copacabana,-22.97291,-43.18808,Entire home/apt,395,4,1,2020-02-26,0.06,1,90
40734016,Alugo quarto para até 4 pessoas em Copacabana,46082380,Patrick,,Copacabana,-22.98023,-43.19334,Private room,350,3,0,,,3,178
40734028,Espaço Laranjeiras,284309338,Schirley,,Laranjeiras,-22.93145,-43.1796,Entire home/apt,250,6,1,2020-01-05,0.05,1,89
40734733,Alugo quarto para até 2 pessoas em Copacabana,46082380,Patrick,,Copacabana,-22.98201,-43.19309,Private room,200,3,0,,,3,178
40735232,Exclusive Copa Point,201418761,Carlos,,Copacabana,-22.97108,-43.18761,Private room,80,3,2,2020-02-28,0.11,11,365
40735351,Quarto feminista RJ. Mães têm preferência,260046146,Celme,,Tijuca,-22.92,-43.21777,Private room,130,1,2,2020-02-28,0.12,1,179
40735809,Refurbished 1Bdr apt in Copacabana/RJ near Ipanema,4232997,Gabriel,,Copacabana,-22.98264,-43.19126,Entire home/apt,166,5,28,2021-06-10,1.47,4,193
40736263,Copacabana conforto e silêncio a 350m da praia,175580038,Mariana,,Copacabana,-22.97332,-43.18831,Entire home/apt,240,6,19,2021-04-26,1.00,1,39
40741553,Apartamento novo Copacabana 100m da praia,6785488,Paul,,Copacabana,-22.962,-43.17598,Entire home/apt,220,2,1,2021-06-05,0.70,7,337
40742063,Aconchegante AP 177,92525893,Analia,,Copacabana,-22.97598,-43.19328,Entire home/apt,250,6,0,,,1,83
40744155,Pacotes de réveillon e carnaval perto da praia,316369428,Helena,,Copacabana,-22.96285,-43.17535,Entire home/apt,850,2,0,,,1,89
40744469,"Temporada Copacabana, Quarto p/ duas pessoas!!",1316703,Fernanda,,Copacabana,-22.97366,-43.19022,Private room,120,5,0,,,2,365
40744987,Apartamento Copacabana,81680798,Amenik,,Copacabana,-22.9641,-43.17481,Entire home/apt,400,30,1,2020-01-05,0.05,3,364
40745152,Apartamento Copacabana,81680798,Amenik,,Copacabana,-22.96362,-43.1755,Entire home/apt,200,3,0,,,3,364
40746727,Conjugadão em Copacabana a 2 quadras da Praia,316394169,Maria Aparecida,,Copacabana,-22.98224,-43.19458,Entire home/apt,380,7,1,2020-02-27,0.06,1,365
40747558,CaviRio BRT PDC1103,371026651,CaviRio,,Barra da Tijuca,-23.00603,-43.32506,Entire home/apt,324,1,4,2020-05-03,0.21,142,343
